Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2022-01-14,131.001708984375,132.199801788792,130.2450255442469,131.1278186147107,14183654
2022-01-17,130.118896484375,132.13674027078676,129.77208860401575,131.88450819385324,7574539
2022-01-18,129.36219787597656,131.06474174429343,129.01537720733006,130.05582638421473,8475422
2022-01-19,129.0469207763672,130.7809985925364,126.77685783737502,129.89819277485728,13724367
2022-01-20,135.35264587402344,135.79404232784648,129.51983920921577,130.59180935653154,30170343
2022-01-21,135.6363983154297,138.2532816978708,134.31219613065667,134.8797150181464,29509593
2022-01-24,134.94276428222656,137.3074155254899,133.36633012005103,136.4561436437259,12850189
2022-01-25,138.0010528564453,138.85232479289638,133.65009172351728,134.62748609847714,27389035
2022-01-27,135.478759765625,138.28482048784224,133.90232548203835,137.46506952875518,28512473
2022-01-28,132.54661560058594,137.14980974907445,131.94757558617852,137.14980974907445,18932049
2022-01-31,135.82559204101562,136.6768640610518,133.17717452094564,133.6816386664036,19907759
2022-02-01,134.2806854248047,136.86604826509333,133.24024891924003,136.83451444350666,8622355
2022-02-02,134.94276428222656,137.33894934035501,134.4698340335739,135.47874933155543,9921099
2022-02-03,133.24024963378906,135.5733675720102,133.05107236136817,134.9427937693497,4594389
2022-02-04,132.23130798339844,134.53290469737274,131.85296630567586,133.6816327152331,7329263
2022-02-07,134.7220916748047,135.13196720069485,132.4204947947045,133.0826024003006,7869237
2022-02-08,132.45201110839844,135.82557784501907,131.47461673962346,134.9427720972634,9074237
2022-02-09,132.01060485839844,133.46092953659644,131.60072937725073,132.79882200327668,9833985
2022-02-10,133.71316528320312,136.01474914659528,132.452017816553,132.452017816553,19180334
2022-02-11,131.03321838378906,133.68162275967012,130.5602881145921,132.5465849819756,20071130
2022-02-14,127.28130340576172,130.49722682684697,126.90296173782025,130.49722682684697,12109375
2022-02-15,128.29022216796875,128.54245422957655,125.48417415885281,127.37589537732798,19046061
2022-02-16,127.22087097167969,130.266907820646,126.83200398201797,128.71147941852183,20270061
2022-02-17,127.6745376586914,128.87350910620185,127.02644355890111,128.4846552834293,16405551
2022-02-18,126.83201599121094,129.7160427815714,126.54037890685834,127.54493008275524,14600643
2022-02-21,128.41983032226562,128.9707075919642,126.73478853856736,126.83199209136225,10682638
2022-02-22,128.41983032226562,128.61425061336178,124.30443600856803,125.85985107936253,13606058
2022-02-23,128.3550262451172,129.29475730218354,128.06337602410903,128.54944654028267,6493463
2022-02-24,123.85077667236328,127.02644031739986,123.07306904666399,125.73025215089578,13145037
2022-02-25,127.86894989013672,128.25780364821827,124.5312631943834,124.79050342827311,10920938
2022-02-28,135.5488739013672,136.2617747229829,127.05884443920074,127.96616556552584,31938385
2022-03-02,136.6830291748047,138.1412406954772,133.63697942031828,134.6415304087619,20502615
2022-03-03,141.1873016357422,142.15944281733167,136.553426033064,136.553426033064,19805555
2022-03-04,139.3726348876953,140.9604600833972,136.71543865495855,139.9559090017033,12794317
2022-03-07,137.91441345214844,139.46982855988534,135.35443414844366,136.4237919241428,17635653
2022-03-08,137.62277221679688,144.78421691711515,135.9701402605363,138.69213006232283,28410490
2022-03-09,134.86837768554688,139.98832364099985,133.89623654915104,139.4374463008105,22830958
2022-03-10,135.3544464111328,137.00709159471108,134.1878849746433,136.74785132476637,16516553
2022-03-11,137.6875762939453,138.0440332973197,134.64153951886465,135.6460905752781,12992850
